request_id,campaign_id,developer_id,submitted_date,status,approval_days,documents_required,documents_uploaded,commitment_aed,channel,leads_generated,media_mentions
REQ-0066,CMP-006,DEV-005,2025-09-27,approved,3.8,3,3,950000,platform,565,35
REQ-0067,CMP-006,DEV-022,2025-09-26,approved,2.2,3,1,1200000,platform,421,31
REQ-0068,CMP-006,DEV-027,2025-10-12,approved,4.2,3,2,1050000,platform,1007,11
REQ-0069,CMP-007,DEV-008,2024-10-17,approved,0.6,6,5,325000,platform,552,41
REQ-0070,CMP-007,DEV-028,2024-10-09,rejected,6.4,3,3,875000,email,0,0
REQ-0071,CMP-007,DEV-003,2024-10-12,approved,0.9,2,1,1050000,platform,444,29
REQ-0072,CMP-007,DEV-024,2024-10-19,approved,6.4,4,4,1350000,platform,1298,27
REQ-0073,CMP-007,DEV-021,2024-10-01,approved,4.7,6,5,150000,platform,713,26
REQ-0074,CMP-008,DEV-002,2024-06-11,approved,3.1,3,1,800000,platform,1091,9
REQ-0075,CMP-008,DEV-015,2024-06-21,rejected,3,2,2,975000,platform,0,0
REQ-0076,CMP-008,DEV-019,2024-05-25,approved,1.7,2,1,1500000,platform,1055,41
REQ-0077,CMP-008,DEV-026,2024-06-19,approved,4.1,2,1,1150000,platform,808,31
REQ-0078,CMP-008,DEV-028,2024-05-15,approved,6.3,6,5,50000,platform,1029,20
REQ-0079,CMP-008,DEV-014,2024-06-21,approved,3.6,2,2,1325000,platform,603,23
REQ-0080,CMP-008,DEV-010,2024-06-09,rejected,1.9,6,4,1075000,platform,0,0
REQ-0081,CMP-009,DEV-015,2026-04-19,approved,5,5,4,1000000,platform,0,0
REQ-0082,CMP-009,DEV-007,2026-05-17,approved,4.6,5,4,950000,platform,0,0
REQ-0083,CMP-009,DEV-020,2026-04-13,approved,2.7,4,2,725000,platform,0,0
REQ-0084,CMP-009,DEV-004,2026-04-21,approved,4.7,3,1,525000,platform,0,0
REQ-0085,CMP-009,DEV-013,2026-05-16,approved,2,5,5,1100000,email,0,0
REQ-0086,CMP-009,DEV-005,2026-06-12T20:00:00.000Z,pending,,3,1,475000,platform,0,0
REQ-0087,CMP-009,DEV-016,2026-05-16,approved,2.7,4,4,450000,email,0,0
REQ-0088,CMP-009,DEV-003,2026-04-17,approved,3.3,2,2,1250000,platform,0,0
REQ-0089,CMP-009,DEV-002,2026-06-10T08:00:00.000Z,pending,,2,0,475000,platform,0,0
REQ-0090,CMP-009,DEV-009,2026-06-14T08:00:00.000Z,pending,,5,1,175000,email,0,0
REQ-0091,CMP-009,DEV-024,2026-04-26,approved,4.4,6,6,775000,platform,0,0
REQ-0092,CMP-009,DEV-023,2026-05-04,approved,0.6,5,4,300000,platform,0,0
REQ-0093,CMP-009,DEV-008,2026-05-01,approved,4.5,5,5,300000,platform,0,0
REQ-0094,CMP-009,DEV-014,2026-06-09T12:48:00.000Z,pending,,3,2,750000,platform,0,0
REQ-0095,CMP-010,DEV-014,2026-06-12T17:36:00.000Z,pending,,3,2,600000,platform,0,0
REQ-0096,CMP-010,DEV-019,2026-04-19,approved,3.4,6,5,1050000,platform,0,0
REQ-0097,CMP-010,DEV-026,2026-05-19,approved,0.9,6,6,900000,platform,0,0
REQ-0098,CMP-010,DEV-024,2026-05-08,approved,3.9,6,5,450000,platform,0,0
REQ-0099,CMP-010,DEV-023,2026-04-18,approved,1.9,3,1,275000,platform,0,0
REQ-0100,CMP-011,DEV-014,2026-04-29,approved,2.2,3,3,650000,platform,0,0
REQ-0101,CMP-011,DEV-019,2026-04-23,approved,4.2,5,3,325000,platform,0,0
REQ-0102,CMP-011,DEV-026,2026-05-03,approved,3.3,3,3,750000,platform,0,0
REQ-0103,CMP-011,DEV-008,2026-06-13T15:12:00.000Z,under_review,,5,3,175000,platform,0,0
REQ-0104,CMP-011,DEV-028,2026-04-02,approved,5.4,2,1,1475000,platform,0,0
REQ-0105,CMP-011,DEV-017,2026-04-19,approved,1.1,4,3,1275000,platform,0,0
REQ-0106,CMP-011,DEV-003,2026-04-15,approved,4.2,4,3,625000,platform,0,0
REQ-0107,CMP-012,DEV-020,2026-04-02,approved,3.7,4,3,650000,platform,0,0
REQ-0108,CMP-012,DEV-019,2026-04-21,approved,4,5,3,1475000,email,0,0
REQ-0109,CMP-012,DEV-002,2026-03-15,approved,2.6,6,6,900000,email,0,0
REQ-0110,CMP-012,DEV-010,2026-03-16,approved,2.8,6,5,950000,email,0,0
REQ-0111,CMP-012,DEV-026,2026-06-13T08:00:00.000Z,under_review,,2,1,175000,platform,0,0
REQ-0112,CMP-012,DEV-027,2026-03-15,approved,2.1,3,3,1500000,platform,0,0
REQ-0113,CMP-012,DEV-003,2026-03-15,approved,4.7,3,2,875000,platform,0,0
REQ-0114,CMP-012,DEV-004,2026-04-13,approved,0.5,6,4,325000,platform,0,0
REQ-0115,CMP-012,DEV-016,2026-06-12T12:48:00.000Z,pending,,5,2,1500000,platform,0,0
REQ-0116,CMP-012,DEV-028,2026-03-26,approved,0.9,2,2,1475000,platform,0,0
REQ-0117,CMP-012,DEV-021,2026-04-05,approved,2.8,3,1,1500000,platform,0,0
REQ-0118,CMP-012,DEV-015,2026-03-21,approved,3.9,4,4,725000,platform,0,0
REQ-0119,CMP-012,DEV-007,2026-04-17,approved,3.6,3,2,1125000,platform,0,0
REQ-0120,CMP-013,DEV-017,2026-03-25,approved,2.4,3,3,100000,platform,0,0
REQ-0121,CMP-013,DEV-007,2026-03-27,approved,2.7,5,5,750000,platform,0,0
REQ-0122,CMP-013,DEV-009,2026-03-10,approved,5.2,3,2,725000,platform,0,0
REQ-0123,CMP-013,DEV-016,2026-03-16,approved,1.7,3,2,575000,platform,0,0
REQ-0124,CMP-013,DEV-023,2026-03-29,approved,4.3,2,1,1075000,platform,0,0
REQ-0125,CMP-013,DEV-003,2026-03-03,approved,0.9,6,5,200000,platform,0,0
REQ-0126,CMP-013,DEV-004,2026-03-23,approved,4,2,1,50000,platform,0,0
REQ-0127,CMP-013,DEV-002,2026-03-19,approved,0.6,3,1,600000,email,0,0
REQ-0128,CMP-013,DEV-028,2026-04-10,approved,1.2,3,2,1200000,platform,0,0
REQ-0129,CMP-013,DEV-022,2026-04-09,approved,1.8,2,1,525000,platform,0,0
REQ-0130,CMP-013,DEV-011,2026-06-11T15:12:00.000Z,pending,,2,0,1225000,platform,0,0
REQ-0131,CMP-013,DEV-001,2026-04-06,approved,4.6,6,4,225000,platform,0,0
REQ-0132,CMP-013,DEV-014,2026-06-09T05:36:00.000Z,under_review,,5,4,375000,platform,0,0
REQ-0133,CMP-013,DEV-020,2026-06-11T10:24:00.000Z,under_review,,3,3,750000,platform,0,0
REQ-0134,CMP-013,DEV-026,2026-06-12T20:00:00.000Z,under_review,,2,2,250000,platform,0,0
REQ-0135,CMP-013,DEV-021,2026-03-20,approved,2.4,6,5,1475000,platform,0,0
REQ-0136,CMP-014,DEV-013,2026-03-31,approved,1.4,6,4,975000,platform,0,0
REQ-0137,CMP-014,DEV-006,2026-06-10T05:36:00.000Z,pending,,5,0,350000,platform,0,0
REQ-0138,CMP-014,DEV-003,2026-04-05,approved,2.7,2,1,500000,platform,0,0
REQ-0139,CMP-014,DEV-014,2026-06-13T15:12:00.000Z,pending,,3,1,675000,platform,0,0
REQ-0140,CMP-014,DEV-028,2026-03-20,approved,3.7,5,5,775000,platform,0,0
REQ-0141,CMP-014,DEV-008,2026-03-19,approved,3,4,2,500000,email,0,0
REQ-0142,CMP-014,DEV-015,2026-06-11T22:24:00.000Z,pending,,6,1,225000,platform,0,0
REQ-0143,CMP-015,DEV-019,2026-06-09T03:12:00.000Z,pending,,3,2,1250000,email,0,0
REQ-0144,CMP-015,DEV-015,2026-03-07,approved,3.2,2,1,425000,platform,0,0
REQ-0145,CMP-015,DEV-006,2026-06-14T12:48:00.000Z,pending,,3,1,150000,platform,0,0
REQ-0146,CMP-015,DEV-005,2026-04-02,approved,4.6,4,2,1500000,email,0,0
REQ-0147,CMP-015,DEV-009,2026-03-14,approved,2,3,3,800000,platform,0,0
REQ-0148,CMP-015,DEV-003,2026-04-10,approved,1,6,5,50000,platform,0,0
REQ-0149,CMP-015,DEV-028,2026-03-30,approved,2.2,3,2,600000,email,0,0
REQ-0150,CMP-015,DEV-010,2026-03-28,approved,3.6,4,3,975000,platform,0,0
REQ-0151,CMP-017,DEV-004,2026-06-09T22:24:00.000Z,pending,,5,2,550000,platform,0,0
REQ-0152,CMP-017,DEV-023,2026-06-11T03:12:00.000Z,under_review,,3,2,50000,platform,0,0
REQ-0153,CMP-017,DEV-015,2026-06-10T22:24:00.000Z,pending,,5,0,100000,platform,0,0
REQ-0154,CMP-017,DEV-009,2026-06-09T03:12:00.000Z,pending,,6,1,400000,platform,0,0
REQ-0155,CMP-017,DEV-013,2026-06-14T03:12:00.000Z,pending,,2,1,1175000,platform,0,0
REQ-0156,CMP-017,DEV-019,2026-06-11T12:48:00.000Z,under_review,,4,3,875000,platform,0,0
REQ-0157,CMP-017,DEV-021,2026-06-09T03:12:00.000Z,pending,,2,1,1500000,platform,0,0
REQ-0158,CMP-017,DEV-027,2026-06-15T00:48:00.000Z,pending,,5,0,950000,platform,0,0
REQ-0159,CMP-017,DEV-011,2026-06-09T20:00:00.000Z,pending,,4,0,75000,email,0,0
REQ-0160,CMP-017,DEV-028,2026-06-08T22:24:00.000Z,under_review,,2,2,200000,platform,0,0
REQ-0161,CMP-018,DEV-003,2026-06-11T08:00:00.000Z,under_review,,4,2,600000,platform,0,0
REQ-0162,CMP-018,DEV-013,2026-06-13T08:00:00.000Z,pending,,4,1,1100000,platform,0,0
REQ-0163,CMP-018,DEV-020,2026-06-09T17:36:00.000Z,pending,,4,1,250000,platform,0,0
REQ-0164,CMP-018,DEV-023,2026-06-10T08:00:00.000Z,under_review,,4,2,900000,platform,0,0
REQ-0165,CMP-018,DEV-010,2026-06-14T15:12:00.000Z,under_review,,6,4,700000,platform,0,0
REQ-0166,CMP-019,DEV-027,2026-06-15T00:48:00.000Z,under_review,,2,1,775000,platform,0,0
REQ-0167,CMP-019,DEV-005,2026-06-10T22:24:00.000Z,pending,,2,2,725000,platform,0,0
REQ-0168,CMP-019,DEV-018,2026-06-10T12:48:00.000Z,pending,,2,1,75000,platform,0,0
REQ-0169,CMP-019,DEV-006,2026-06-13T22:24:00.000Z,pending,,3,2,850000,platform,0,0
REQ-0170,CMP-019,DEV-001,2026-06-10T10:24:00.000Z,pending,,6,0,400000,platform,0,0
REQ-0171,CMP-019,DEV-016,2026-06-14T15:12:00.000Z,pending,,4,0,525000,email,0,0
REQ-0172,CMP-019,DEV-019,2026-06-12T10:24:00.000Z,pending,,3,2,800000,platform,0,0
REQ-0173,CMP-019,DEV-004,2026-06-13T15:12:00.000Z,pending,,2,1,375000,email,0,0
